user_id,security_type,gender,age_group,age_order,health_condition,household_type,employment_status_group,income_band,income_order,housing_tenure_group,epc_rating,prepayment_meter,private_renter,social_renter,owner_occupier,life_satisfaction,social_isolation_score,social_support_score,lad_code,borough_name,imd_decile,crime_rate_per_1000,log_crime_rate,crime_quartile,crime_quartile_order,security_label,security_score,security_status,insecure_flag,severe_flag
6690596,Food,Male,30 to 34,4,No,"Living with other adults that are non-family members, such as friends/ flatmates",Student,Prefer not to say,,Renting from private landlord,Don't know,Don't know,True,False,False,6,0.0,1.5,E09000003,Barnet,3,71.52628693518058,4.283949074561243,Lowest,1,Marginal food security,1,Insecure,1.0,0.0
6540883,Food,Female,25 to 29,3,No,"Living with other adults that are non-family members, such as friends/ flatmates",Working full-time,"£37,901- £58,900 p.a.",4.0,Renting from private landlord,E,Yes,True,False,False,9,1.0,2.0,E09000013,Hammersmith and Fulham,6,113.59740385755715,4.741425150076017,Highest,4,High food security,0,Secure,0.0,0.0
4596465,Food,Female,50 to 54,8,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",Working full-time,Prefer not to say,,Buying the house on a mortgage,D,No,False,False,True,8,1.0,1.0,E09000017,Hillingdon,9,77.02625332106763,4.357045351098229,Low-medium,2,Marginal food security,1,Insecure,1.0,0.0
4808859,Food,Female,50 to 54,8,Yes,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",Not working- long term sick or disabled,Prefer not to say,,Living in rented accommodation arranged by the Local Authority,Don't know,Yes,False,True,False,5,2.0,1.0,E09000009,Ealing,2,81.46078799553669,4.412322883327404,Low-medium,2,Very low food security,9,Insecure,1.0,1.0
5825086,Food,Female,55 to 59,9,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",Working full-time,"£37,901- £58,900 p.a.",4.0,Buying the house on a mortgage,Don't know,Yes,False,False,True,8,1.5,0.5,E09000025,Newham,8,102.94920578921284,4.643902373959421,High-medium,3,Low food security,4,Insecure,1.0,0.0
6244187,Food,Male,40 to 44,6,Prefer not to say,"Living with other adults that are non-family members, such as friends/ flatmates",Unemployed,Prefer not to say,,Temporarily living with friends and/ or family while attempting to find permanent accommodation,Don't know,Yes,False,False,False,6,1.0,0.5,E09000001,City of London,6,633.9355852317361,6.4535235531673045,Highest,4,Very low food security,9,Insecure,1.0,1.0
1456524,Food,Non binary/ other,35 to 39,5,No,Living on my own (NO children or children have left home),Working full-time,Prefer not to say,,Buying the house on a mortgage,Don't know,Don't know,False,False,True,10,1.0,2.0,E09000028,Southwark,3,112.89535525791996,4.735280090498906,Highest,4,High food security,0,Secure,0.0,0.0
5554352,Food,Female,30 to 34,4,No,Living with partner/ spouse (NO children or children have left home),Working full-time,"More than £58,900 p.a.",5.0,Renting from private landlord,E,No,True,False,False,8,0.0,2.0,E09000012,Hackney,2,121.66707436399216,4.809473973114799,Highest,4,High food security,0,Secure,0.0,0.0
317113,Food,Female,20 to 24,2,No,"Living with other adults that are non-family members, such as friends/ flatmates",Working full-time,"More than £58,900 p.a.",5.0,Renting from private landlord,Don't know,No,True,False,False,7,1.0,1.0,E09000032,Wandsworth,10,75.0126002708299,4.33089911958142,Low-medium,2,High food security,0,Secure,0.0,0.0
2064837,Food,Female,60 to 64,10,Yes,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",Retired,Prefer not to say,,Owning the house outright,Don't know,No,False,False,True,4,2.0,0.5,E09000019,Islington,2,127.4397296829604,4.855459764601848,Highest,4,High food security,0,Secure,0.0,0.0
5227618,Food,Female,25 to 29,3,No,"Living with other adults that are non-family members, such as friends/ flatmates",Working part-time,Prefer not to say,,Renting from private landlord,Don't know,Yes,True,False,False,8,0.5,2.0,E09000013,Hammersmith and Fulham,4,113.59740385755715,4.741425150076017,Highest,4,Low food security,4,Insecure,1.0,0.0
2641139,Food,Female,25 to 29,3,No,Living with partner/ spouse (NO children or children have left home),Not working- looking after house/ children,"£14,901- £24,300 p.a.",2.0,Renting from private landlord,Don't know,Yes,True,False,False,7,1.0,1.5,E09000006,Bromley,4,69.34413947690096,4.253399474857929,Lowest,1,Very low food security,8,Insecure,1.0,1.0
1827054,Food,Male,35 to 39,5,No,Living on my own (NO children or children have left home),Working full-time,Prefer not to say,,Renting from private landlord,Don't know,No,True,False,False,5,1.0,1.0,E09000029,Sutton,8,64.10579524758313,4.176013565952618,Lowest,1,Very low food security,9,Insecure,1.0,1.0
6419587,Food,Male,60 to 64,10,Prefer not to say,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",Working full-time,"£24,301- £37,900 p.a.",3.0,Owning the house outright,Don't know,No,False,False,True,3,1.0,0.0,E09000027,Richmond upon Thames,6,59.12433069454052,4.096414596464431,Lowest,1,Very low food security,8,Insecure,1.0,1.0
5435304,Food,Male,40 to 44,6,No,Living on my own (NO children or children have left home),Not working- long term sick or disabled,"Less than £14,900 p.a.",1.0,Living in rented accommodation arranged by the Local Authority,D,No,False,True,False,7,1.5,1.0,E09000033,Westminster,7,372.93320499747455,5.924077185200883,Highest,4,Very low food security,8,Insecure,1.0,1.0
5649937,Food,Female,35 to 39,5,Yes,Living with partner/ spouse (NO children or children have left home),Unemployed,Prefer not to say,,Living in a night shelter/ hostel,Don't know,Don't know,False,False,False,8,2.0,0.0,E09000028,Southwark,4,112.89535525791996,4.735280090498906,Highest,4,Very low food security,9,Insecure,1.0,1.0
1396759,Food,Male,50 to 54,8,Yes,Living on my own (NO children or children have left home),Unemployed,"Less than £14,900 p.a.",1.0,Living in rented accommodation from Housing Association,Don't know,Yes,False,True,False,8,1.0,0.0,E09000033,Westminster,3,372.93320499747455,5.924077185200883,Highest,4,Low food security,7,Insecure,1.0,0.0
3436288,Food,Male,35 to 39,5,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",Working full-time,"£14,901- £24,300 p.a.",2.0,Temporarily living with friends and/ or family while attempting to find permanent accommodation,B,Don't know,False,False,False,6,1.0,1.5,E09000022,Lambeth,3,107.01926113040732,4.682309555022923,High-medium,3,Low food security,5,Insecure,1.0,0.0
5788734,Food,Male,20 to 24,2,No,"Living with other adults that are non-family members, such as friends/ flatmates",Student,"Less than £14,900 p.a.",1.0,Renting from private landlord,Don't know,Yes,True,False,False,8,1.0,1.5,E09000022,Lambeth,4,107.01926113040732,4.682309555022923,High-medium,3,High food security,0,Secure,0.0,0.0
2851592,Food,Female,20 to 24,2,No,Living on my own (NO children or children have left home),Student,"Less than £14,900 p.a.",1.0,Renting from private landlord,B,Yes,True,False,False,7,1.0,1.0,E09000019,Islington,4,127.4397296829604,4.855459764601848,Highest,4,Low food security,6,Insecure,1.0,0.0
5548728,Food,Female,25 to 29,3,No,Living on my own (NO children or children have left home),Working full-time,"£24,301- £37,900 p.a.",3.0,Renting from private landlord,Don't know,No,True,False,False,9,1.0,1.0,E09000021,Kingston upon Thames,5,73.1006257318934,4.305423976691399,Lowest,1,Low food security,6,Insecure,1.0,0.0
6493680,Food,Female,20 to 24,2,Yes,"Living with other adults that are non-family members, such as friends/ flatmates",Working part-time,"Less than £14,900 p.a.",1.0,,D,Don't know,False,False,False,8,0.5,1.5,E09000009,Ealing,7,81.46078799553669,4.412322883327404,Low-medium,2,Low food security,5,Insecure,1.0,0.0
1508579,Food,Male,55 to 59,9,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",Working full-time,"£24,301- £37,900 p.a.",3.0,Buying the house on a mortgage,Don't know,Yes,False,False,True,8,0.0,1.0,E09000003,Barnet,2,71.52628693518058,4.283949074561243,Lowest,1,Marginal food security,1,Insecure,1.0,0.0
4370909,Food,Female,35 to 39,5,No,Living on my own (NO children or children have left home),Working full-time,"More than £58,900 p.a.",5.0,Renting from private landlord,F,Yes,True,False,False,8,0.0,1.0,E09000033,Westminster,8,372.93320499747455,5.924077185200883,Highest,4,High food security,0,Secure,0.0,0.0
1339705,Food,Female,30 to 34,4,No,Living on my own (NO children or children have left home),Working part-time,"£14,901- £24,300 p.a.",2.0,Owning the house outright,Don't know,Yes,False,False,True,7,1.5,0.5,E09000009,Ealing,4,81.46078799553669,4.412322883327404,Low-medium,2,Low food security,4,Insecure,1.0,0.0
5765551,Food,Female,50 to 54,8,No,Living on my own (NO children or children have left home),Working full-time,"£37,901- £58,900 p.a.",4.0,Renting from private landlord,Don't know,No,True,False,False,7,0.0,1.0,E09000008,Croydon,2,87.80214462188941,4.486410800853894,Low-medium,2,High food security,0,Secure,0.0,0.0
6186097,Food,Male,35 to 39,5,No,Living on my own (NO children or children have left home),Working full-time,"£24,301- £37,900 p.a.",3.0,Living in rented accommodation from Housing Association,Don't know,No,False,True,False,6,2.0,1.0,E09000025,Newham,4,102.94920578921284,4.643902373959421,High-medium,3,Low food security,5,Insecure,1.0,0.0
928336,Food,Female,30 to 34,4,Yes,Living on my own (NO children or children have left home),Not working- long term sick or disabled,"Less than £14,900 p.a.",1.0,Living in rented accommodation from Housing Association,Don't know,Yes,False,True,False,5,1.0,1.5,E09000033,Westminster,6,372.93320499747455,5.924077185200883,Highest,4,Very low food security,9,Insecure,1.0,1.0
1425413,Food,Female,55 to 59,9,Yes,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",Working full-time,"£24,301- £37,900 p.a.",3.0,Buying the house on a mortgage,C,No,False,False,True,5,1.0,1.5,E09000031,Waltham Forest,4,82.92437534381423,4.429916099809674,Low-medium,2,High food security,0,Secure,0.0,0.0
5263443,Food,Female,30 to 34,4,No,"Living with other adults that are non-family members, such as friends/ flatmates",Working full-time,"£24,301- £37,900 p.a.",3.0,Living in rented accommodation from Housing Association,C,Don't know,False,True,False,8,1.0,1.0,E09000033,Westminster,4,372.93320499747455,5.924077185200883,Highest,4,Low food security,5,Insecure,1.0,0.0
2832646,Food,Female,25 to 29,3,No,"Living with other adults that are non-family members, such as friends/ flatmates",Working full-time,"£37,901- £58,900 p.a.",4.0,Renting from private landlord,Don't know,No,True,False,False,8,0.0,2.0,E09000032,Wandsworth,9,75.0126002708299,4.33089911958142,Low-medium,2,High food security,0,Secure,0.0,0.0
1020247,Food,Female,40 to 44,6,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",Working full-time,"£14,901- £24,300 p.a.",2.0,Living in rented accommodation from Housing Association,Don't know,Yes,False,True,False,10,0.5,1.0,E09000033,Westminster,3,372.93320499747455,5.924077185200883,Highest,4,Marginal food security,2,Insecure,1.0,0.0
5912560,Food,Female,25 to 29,3,Prefer not to say,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",Student,Prefer not to say,,Living in rented accommodation from Housing Association,Don't know,No,False,True,False,5,1.5,0.5,E09000022,Lambeth,5,107.01926113040732,4.682309555022923,High-medium,3,Marginal food security,2,Insecure,1.0,0.0
5797120,Food,Female,35 to 39,5,Prefer not to say,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",Working full-time,Prefer not to say,,Living in rented accommodation from Housing Association,Don't know,No,False,True,False,6,1.5,1.5,E09000033,Westminster,9,372.93320499747455,5.924077185200883,Highest,4,Very low food security,9,Insecure,1.0,1.0
6057693,Food,Female,20 to 24,2,Yes,Living with partner/ spouse (NO children or children have left home),Unemployed,Prefer not to say,,Renting from private landlord,D,No,True,False,False,6,0.5,1.5,E09000013,Hammersmith and Fulham,7,113.59740385755715,4.741425150076017,Highest,4,High food security,0,Secure,0.0,0.0
3916798,Food,Male,65 to 69,11,No,Living with partner/ spouse (NO children or children have left home),Working part-time,"More than £58,900 p.a.",5.0,Owning the house outright,Don't know,No,False,False,True,10,0.0,2.0,E09000027,Richmond upon Thames,9,59.12433069454052,4.096414596464431,Lowest,1,High food security,0,Secure,0.0,0.0
4115756,Food,Female,35 to 39,5,Prefer not to say,Living with partner/ spouse (NO children or children have left home),Working part-time,Prefer not to say,,Living in rented accommodation from Housing Association,Don't know,No,False,True,False,8,0.5,1.0,E09000019,Islington,2,127.4397296829604,4.855459764601848,Highest,4,High food security,0,Secure,0.0,0.0
6728271,Food,Female,35 to 39,5,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",Working part-time,Prefer not to say,,Living in rented accommodation arranged by the Local Authority,Don't know,Yes,False,True,False,10,0.0,1.0,E09000028,Southwark,3,112.89535525791996,4.735280090498906,Highest,4,High food security,0,Secure,0.0,0.0
3851172,Food,Female,45 to 49,7,No,Living on my own (NO children or children have left home),Working full-time,"More than £58,900 p.a.",5.0,Buying the house on a mortgage,D,No,False,False,True,5,1.0,2.0,E09000009,Ealing,7,81.46078799553669,4.412322883327404,Low-medium,2,High food security,0,Secure,0.0,0.0
1964918,Food,Male,55 to 59,9,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",Working full-time,"£37,901- £58,900 p.a.",4.0,Temporarily living with friends and/ or family while attempting to find permanent accommodation,C,No,False,False,False,8,2.0,0.5,E09000007,Camden,6,161.7785752076001,5.0923908429892295,Highest,4,Low food security,5,Insecure,1.0,0.0
2435545,Food,Female,70 to 74,12,No,Living with partner/ spouse (NO children or children have left home),Retired,"£24,301- £37,900 p.a.",3.0,Owning the house outright,Don't know,No,False,False,True,7,0.0,1.5,E09000004,Bexley,7,64.46313682120169,4.181487187588867,Lowest,1,High food security,0,Secure,0.0,0.0
6003153,Food,Female,20 to 24,2,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",Working full-time,"More than £58,900 p.a.",5.0,,Don't know,Don't know,False,False,False,8,0.5,1.0,E09000003,Barnet,8,71.52628693518058,4.283949074561243,Lowest,1,High food security,0,Secure,0.0,0.0
3719401,Food,Female,30 to 34,4,No,Living with partner/ spouse (NO children or children have left home),Working full-time,"£24,301- £37,900 p.a.",3.0,Buying the house on a mortgage,Don't know,Yes,False,False,True,6,1.0,1.0,E09000023,Lewisham,2,93.94595064593692,4.553307789123356,High-medium,3,High food security,0,Secure,0.0,0.0
1981557,Food,Male,35 to 39,5,No,Living with partner/ spouse (NO children or children have left home),Working full-time,"More than £58,900 p.a.",5.0,Renting from private landlord,C,No,True,False,False,10,0.0,1.0,E09000022,Lambeth,4,107.01926113040732,4.682309555022923,High-medium,3,High food security,0,Secure,0.0,0.0
928418,Food,Female,40 to 44,6,No,Living with partner/ spouse (NO children or children have left home),Working full-time,"£37,901- £58,900 p.a.",4.0,Buying the house on a mortgage,Don't know,No,False,False,True,8,0.5,1.5,E09000015,Harrow,5,61.22939835759527,4.130827530489963,Lowest,1,High food security,0,Secure,0.0,0.0
4286631,Food,Male,35 to 39,5,No,Living with partner/ spouse (NO children or children have left home),Working full-time,"More than £58,900 p.a.",5.0,Renting from private landlord,Don't know,No,True,False,False,8,0.0,1.0,E09000007,Camden,7,161.7785752076001,5.0923908429892295,Highest,4,High food security,0,Secure,0.0,0.0
5917866,Food,Female,45 to 49,7,Yes,Living on my own (NO children or children have left home),Unemployed,"£14,901- £24,300 p.a.",2.0,Owning the house outright,D,Yes,False,False,True,7,1.0,0.5,E09000010,Enfield,2,92.561372646033,4.538617612899859,High-medium,3,Low food security,3,Insecure,1.0,0.0
1175854,Food,Female,40 to 44,6,No,Living with partner/ spouse (NO children or children have left home),Working full-time,"Less than £14,900 p.a.",1.0,Buying the house on a mortgage,D,Yes,False,False,True,9,0.0,1.5,E09000025,Newham,3,102.94920578921284,4.643902373959421,High-medium,3,High food security,0,Secure,0.0,0.0
2774149,Food,Male,30 to 34,4,No,"Living with other adults that are non-family members, such as friends/ flatmates",Working full-time,"£37,901- £58,900 p.a.",4.0,Renting from private landlord,G,Yes,True,False,False,8,0.5,1.0,E09000033,Westminster,3,372.93320499747455,5.924077185200883,Highest,4,High food security,0,Secure,0.0,0.0
5852796,Food,Female,30 to 34,4,No,Living with partner/ spouse (NO children or children have left home),Working full-time,"More than £58,900 p.a.",5.0,Owning the house outright,Don't know,No,False,False,True,7,0.5,1.0,E09000024,Merton,4,64.73566039577726,4.185641554432283,Lowest,1,High food security,0,Secure,0.0,0.0
2104316,Food,Female,65 to 69,11,Yes,"Living with other adults that are non-family members, such as friends/ flatmates",Retired,"Less than £14,900 p.a.",1.0,Owning the house outright,Don't know,No,False,False,True,7,1.0,2.5,E09000017,Hillingdon,9,77.02625332106763,4.357045351098229,Low-medium,2,Low food security,5,Insecure,1.0,0.0
1964583,Food,Female,45 to 49,7,No,Living on my own (NO children or children have left home),Working full-time,"£14,901- £24,300 p.a.",2.0,Buying the house on a mortgage,Don't know,Yes,False,False,True,10,0.0,2.5,E09000003,Barnet,7,71.52628693518058,4.283949074561243,Lowest,1,High food security,0,Secure,0.0,0.0
3139959,Food,Male,75 to 79,13,No,Living with partner/ spouse (NO children or children have left home),Retired,"More than £58,900 p.a.",5.0,Owning the house outright,C,No,False,False,True,9,0.0,1.0,E09000006,Bromley,9,69.34413947690096,4.253399474857929,Lowest,1,High food security,0,Secure,0.0,0.0
2122813,Food,Female,25 to 29,3,No,Living on my own (NO children or children have left home),Working full-time,"£24,301- £37,900 p.a.",3.0,Owning the house outright,C,No,False,False,True,7,1.0,2.0,E09000008,Croydon,7,87.80214462188941,4.486410800853894,Low-medium,2,High food security,0,Secure,0.0,0.0
1172910,Food,Female,50 to 54,8,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",Working full-time,"£24,301- £37,900 p.a.",3.0,Buying the house on a mortgage,A,No,False,False,True,8,1.0,2.0,E09000011,Greenwich,5,96.79696038426884,4.582893496642329,High-medium,3,Marginal food security,2,Insecure,1.0,0.0
2651549,Food,Male,35 to 39,5,No,Living on my own (NO children or children have left home),Unemployed,"Less than £14,900 p.a.",1.0,Renting from private landlord,C,Yes,True,False,False,7,1.0,1.0,E09000005,Brent,5,89.33622132404018,4.503538502077379,Low-medium,2,Very low food security,9,Insecure,1.0,1.0
6623789,Food,Female,16 to 19,1,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",Student,Prefer not to say,,,Don't know,Don't know,False,False,False,10,0.0,2.5,E09000032,Wandsworth,4,75.0126002708299,4.33089911958142,Low-medium,2,High food security,0,Secure,0.0,0.0
6639613,Food,Female,25 to 29,3,No,"Living with other adults that are non-family members, such as friends/ flatmates",Working full-time,Prefer not to say,,Temporarily living with friends and/ or family while attempting to find permanent accommodation,Don't know,Don't know,False,False,False,7,1.0,1.5,E09000024,Merton,7,64.73566039577726,4.185641554432283,Lowest,1,Marginal food security,1,Insecure,1.0,0.0
1942231,Food,Female,35 to 39,5,Yes,Living with partner/ spouse (NO children or children have left home),Student,"£14,901- £24,300 p.a.",2.0,Renting from private landlord,Don't know,Yes,True,False,False,3,1.0,0.0,E09000005,Brent,5,89.33622132404018,4.503538502077379,Low-medium,2,High food security,0,Secure,0.0,0.0
2623992,Food,Female,25 to 29,3,No,"Living with other adults that are non-family members, such as friends/ flatmates",Working full-time,"£37,901- £58,900 p.a.",4.0,Renting from private landlord,Don't know,No,True,False,False,7,0.5,1.5,E09000019,Islington,3,127.4397296829604,4.855459764601848,Highest,4,Marginal food security,2,Insecure,1.0,0.0
5373008,Food,Female,50 to 54,8,No,Living with partner/ spouse (NO children or children have left home),Working full-time,"More than £58,900 p.a.",5.0,Buying the house on a mortgage,D,No,False,False,True,7,0.0,1.5,E09000016,Havering,10,73.74327004817229,4.3140591754172295,Lowest,1,High food security,0,Secure,0.0,0.0
6230722,Food,Prefer not to say,20 to 24,2,No,"Living with other adults that are non-family members, such as friends/ flatmates",Student,Prefer not to say,,Renting from private landlord,D,Yes,True,False,False,7,1.0,2.0,E09000028,Southwark,4,112.89535525791996,4.735280090498906,Highest,4,Low food security,4,Insecure,1.0,0.0
6006714,Food,Male,20 to 24,2,Yes,Living on my own (NO children or children have left home),Working full-time,"£24,301- £37,900 p.a.",3.0,Renting from private landlord,E,Yes,True,False,False,4,2.0,1.5,E09000032,Wandsworth,3,75.0126002708299,4.33089911958142,Low-medium,2,Very low food security,9,Insecure,1.0,1.0
5173279,Food,Female,20 to 24,2,No,Living with partner/ spouse (NO children or children have left home),Working full-time,"£14,901- £24,300 p.a.",2.0,Renting from private landlord,C,Yes,True,False,False,7,0.5,1.5,E09000032,Wandsworth,6,75.0126002708299,4.33089911958142,Low-medium,2,Very low food security,8,Insecure,1.0,1.0
6531204,Food,Female,35 to 39,5,No,"Living with other adults that are non-family members, such as friends/ flatmates",Working full-time,Prefer not to say,,Renting from private landlord,Don't know,No,True,False,False,7,0.5,2.5,E09000024,Merton,3,64.73566039577726,4.185641554432283,Lowest,1,High food security,0,Secure,0.0,0.0
3995677,Food,Female,30 to 34,4,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",Working part-time,"£37,901- £58,900 p.a.",4.0,Buying the house on a mortgage,Don't know,No,False,False,True,8,0.5,2.0,E09000031,Waltham Forest,3,82.92437534381423,4.429916099809674,Low-medium,2,High food security,0,Secure,0.0,0.0
